Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
nerd-fonts-complete	1.9GiB	0	1.9GiB	0	0.0	1.9GiB
qemu-arch-extra	766.4MiB	213	1.7GiB	0	0.0	827.1MiB
eclipse-jee-bin	678.7MiB	101	1.4GiB	0	0.0	741.9MiB
libreoffice-fresh-ro	25.0MiB	183	1.4GiB	0	0.0	519.7MiB
libreoffice-fresh	400.5MiB	182	1.4GiB	1	400.5MiB	494.7MiB
anbox-git	2.9MiB	112	1.3GiB	0	0.0	491.2MiB
anbox-image-gapps-rooted-xposed	450.4MiB	0	450.4MiB	1	450.4MiB	450.4MiB
popcorntime-bin	429.2MiB	169	1.3GiB	0	0.0	433.8MiB
go	432.3MiB	0	432.3MiB	0	0.0	432.3MiB
noto-fonts-cjk	297.8MiB	0	297.8MiB	0	0.0	297.8MiB
java-openjfx-bin	204.0MiB	268	1.8GiB	0	0.0	286.4MiB
teams	275.1MiB	173	1.1GiB	0	0.0	278.4MiB
google-chrome-beta	255.0MiB	180	1.1GiB	0	0.0	260.4MiB
firefox	231.0MiB	225	1.3GiB	0	0.0	250.0MiB
bibata-cursor-theme-bin	233.7MiB	20	447.1MiB	0	0.0	233.9MiB
mysql	174.6MiB	40	506.8MiB	0	0.0	231.2MiB
calibre	87.4MiB	340	1.7GiB	0	0.0	227.4MiB
plex-media-server	212.4MiB	0	212.4MiB	0	0.0	212.4MiB
virtualbox-ext-oracle	1.7MiB	179	1.3GiB	0	0.0	203.0MiB
virtualbox	162.7MiB	178	1.3GiB	1	162.7MiB	201.4MiB
inkscape	152.8MiB	205	1.2GiB	0	0.0	182.5MiB
jdk-openjdk	88.3MiB	73	584.9MiB	0	0.0	173.3MiB
gimp	112.1MiB	201	983.8MiB	0	0.0	172.8MiB
qt5-webengine	152.7MiB	233	1.2GiB	3	50.9MiB	171.1MiB
linux-zen	165.5MiB	87	560.8MiB	0	0.0	169.1MiB
jre-openjdk-headless	167.8MiB	59	486.6MiB	2	83.9MiB	168.4MiB
pandoc	62.6MiB	148	740.2MiB	0	0.0	168.3MiB
r8168	87.8KiB	88	555.9MiB	0	0.0	164.2MiB
linux	160.5MiB	87	555.8MiB	1	160.5MiB	164.1MiB
jre11-openjdk-headless	158.7MiB	59	477.5MiB	5	31.7MiB	159.3MiB
gcc	156.7MiB	56	470.0MiB	8	19.6MiB	159.3MiB
javafx-scenebuilder	149.9MiB	21	378.2MiB	0	0.0	150.2MiB
linux-firmware	149.8MiB	1	150.0MiB	0	0.0	150.0MiB
telegram-desktop	69.2MiB	252	1.2GiB	0	0.0	149.8MiB
soundfont-fluid	144.6MiB	0	144.6MiB	0	0.0	144.6MiB
linux-zen-headers	143.3MiB	58	481.0MiB	0	0.0	144.4MiB
linux-headers	139.5MiB	58	477.3MiB	0	0.0	140.6MiB
ghc-libs	138.8MiB	16	402.3MiB	133	1.0MiB	139.2MiB
octave	58.8MiB	196	1.1GiB	0	0.0	136.2MiB
mysql-workbench	109.5MiB	185	1.0GiB	0	0.0	134.5MiB
hypr-git	603.2KiB	213	1.4GiB	0	0.0	128.6MiB
plex-media-player	34.0MiB	268	1.5GiB	0	0.0	126.8MiB
gcc-libs	123.8MiB	5	183.2MiB	1164	108.9KiB	123.8MiB
jdk11-openjdk	88.1MiB	73	575.7MiB	3	29.4MiB	120.6MiB
papirus-icon-theme	107.9MiB	51	438.1MiB	0	0.0	108.5MiB
llvm-libs	104.7MiB	15	350.5MiB	219	489.8KiB	105.0MiB
webkit2gtk	97.2MiB	192	1.0GiB	17	5.7MiB	101.7MiB
mesa	97.7MiB	77	556.9MiB	217	460.8KiB	98.7MiB
libibus	93.4MiB	16	309.9MiB	32	2.9MiB	93.6MiB
vlc	58.5MiB	242	1.1GiB	0	0.0	87.9MiB
